portfolio_id,project_id,section_reference,category,section,subsection,cost_related,docu_txt
231,246060,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is Three
231,246060,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 8.055 acres., Acreage source is per the ALTA Survey"
231,246060,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is including three ADA-designated spaces,"
231,246060,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,False,"Accessory Area Heating Type is Warehouse and production areas are heated by gas-fired, suspended unit heaters."
231,246060,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"There is an Single-year event Reserve cost item regarding Asphalt sealcoat & striping for total unit of 75000 SF that have 3 years remaining useful life with total cost of 9000.0 dollars, year 3 costs $9000.0, year 8 costs $9000.0."
231,246060,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, pointing, sealing, repair for total unit of 36000 SF that have 5 years remaining useful life with total cost of 9000.0 dollars, year 5 costs $9000.0."
231,246060,4.4.1,,,,,"There is an Single-year event Reserve cost item regarding Replace EPDM and BUR roof areas with TPO system for total unit of 52200 SF that have 1 years remaining useful life with total cost of 313200.0 dollars, year 1 costs $313200.0."
231,246060,5.1,,,,,"There is an Single-year event Reserve cost item regarding Galvanized piping, replacement allowance for total unit of 1 ALLOW that have 5 years remaining useful life with total cost of 15000.0 dollars, year 5 costs $15000.0., There is an Single-year event Reserve cost item regarding Replace central domestic water boiler for total unit of 1 EA that have 11 years remaining useful life with total cost of 7500.0 dollars, year 11 costs $7500.0."
231,246060,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"There is an Spread Reserve cost item regarding Replace HVAC package units for total unit of 120 TON that have 5 years remaining useful life with total cost of 180000.0 dollars, year 3 costs $22500.0, year 4 costs $22500.0, year 5 costs $22500.0, year 6 costs $22500.0, year 7 costs $22500.0, year 8 costs $22500.0, year 9 costs $22500.0, year 10 costs $22500.0."
231,246060,5.5.2,,,,,"There is an Single-year event Reserve cost item regarding Replace fire alarm panel for total unit of 1 EA that have 10 years remaining useful life with total cost of 10000.0 dollars, year 10 costs $10000.0."
